variable,coef,estimate,std.error,p.value,spec,L,estimator
pre2_tmp,sum,0.003659116592152986,0.0030894112625545734,0.2362524686887665,Interactive,1,AFE
pre2_tmp,b0,0.006237661290328536,0.0025347583608947622,0.013860812337262213,Interactive,1,AFE
pre2_tmp,b1,-0.0025785446981755502,0.001797471839182632,0.15141831069477288,Interactive,1,AFE
tmp2_pre2,sum,-6.879954098103322e-5,7.573594606273405e-5,0.3636598994541421,Interactive,1,AFE
tmp2_pre2,b0,-1.581774716044909e-4,6.061888441600552e-5,0.009070747242811499,Interactive,1,AFE
tmp2_pre2,b1,8.937793062345768e-5,4.3164060276041633e-5,0.038390932691643044,Interactive,1,AFE
tmp,sum,0.008149699582941098,0.005525702120928565,0.14024714215496284,Interactive,1,IFE
tmp,b0,0.014672024030276638,0.003854176807481548,1.4078480215780456e-4,Interactive,1,IFE
tmp,b1,-0.00652232444733554,0.0040082074696404886,0.10368566270685173,Interactive,1,IFE
tmp2,sum,-3.4073789065867553e-4,1.7268629800681353e-4,0.048477207602052375,Interactive,1,IFE
tmp2,b0,-6.055787291086748e-4,1.22400425067884e-4,7.516442141461849e-7,Interactive,1,IFE
tmp2,b1,2.6484083844999923e-4,1.2487202703617575e-4,0.033930382937657086,Interactive,1,IFE
pre,sum,0.0587334945378849,0.07737892113469526,0.4478301889087369,Interactive,1,IFE
pre,b0,0.07312696069168319,0.052500482779155304,0.16365557298044,Interactive,1,IFE
pre,b1,-0.014393466153798289,0.054341741143753765,0.7911100466523762,Interactive,1,IFE
pre2,sum,-0.026848343969879274,0.037676965600938125,0.4760976113884228,Interactive,1,IFE
pre2,b0,-0.041476433105985346,0.025562053246850812,0.10467958070912435,Interactive,1,IFE
pre2,b1,0.014628089136106073,0.026196374180070578,0.5765703921231156,Interactive,1,IFE
tmp_pre,sum,-0.005217628306576153,0.007411488166268039,0.4814377616064205,Interactive,1,IFE
tmp_pre,b0,-0.010494888250499112,0.005062599979095316,0.03817010136174073,Interactive,1,IFE
tmp_pre,b1,0.00527725994392296,0.005235736102354918,0.31348765987182936,Interactive,1,IFE
tmp2_pre,sum,1.3382189656545123e-4,1.9638941805436347e-4,0.49561150694712547,Interactive,1,IFE
tmp2_pre,b0,3.543345522212069e-4,1.349078657228463e-4,0.008626979083805898,Interactive,1,IFE
tmp2_pre,b1,-2.205126556557557e-4,1.388734188391475e-4,0.11231619440387604,Interactive,1,IFE
