ssp,spec,estimator,L,ISO_C3,delta_2100
SSP585,Direct,AFE,1,MRT,-0.8729989547662417
SSP585,Direct,AFE,1,MUS,-0.5083024118203299
SSP585,Direct,AFE,1,MWI,-0.720440505211158
SSP585,Direct,AFE,1,MYS,-0.7091499944399107
SSP585,Direct,AFE,1,NAM,-0.7810994171388075
SSP585,Direct,AFE,1,NER,-0.8639894418042541
SSP585,Direct,AFE,1,NGA,-0.7890556419820244
SSP585,Direct,AFE,1,NIC,-0.798617672274612
SSP585,Direct,AFE,1,NLD,0.09714164865852548
SSP585,Direct,AFE,1,NOR,1.3895352531522973
SSP585,Direct,AFE,1,NPL,-0.36772654312048614
SSP585,Direct,AFE,1,NZL,-0.16493554327434723
SSP585,Direct,AFE,1,OMN,-0.8629220144879429
SSP585,Direct,AFE,1,PAK,-0.7694162805749583
SSP585,Direct,AFE,1,PAN,-0.7167943808642805
SSP585,Direct,AFE,1,PER,-0.5565601886861496
SSP585,Direct,AFE,1,PHL,-0.6972973026742875
SSP585,Direct,AFE,1,PNG,-0.674281396607415
SSP585,Direct,AFE,1,POL,0.313765825892238
SSP585,Direct,AFE,1,PRI,-0.82574385399583
SSP585,Direct,AFE,1,PRT,-0.393242366438487
SSP585,Direct,AFE,1,PRY,-0.7410844437461461
SSP585,Direct,AFE,1,QAT,-0.7386004712116707
SSP585,Direct,AFE,1,ROU,0.02327468549601508
SSP585,Direct,AFE,1,RUS,1.5865391600918013
SSP585,Direct,AFE,1,SAU,-0.8701147435103094
SSP585,Direct,AFE,1,SDN,-0.869547163113837
SSP585,Direct,AFE,1,SEN,-0.7951117361709328
SSP585,Direct,AFE,1,SLB,-0.7033359956258279
SSP585,Direct,AFE,1,SLE,-0.7319875698867871
SSP585,Direct,AFE,1,SLV,-0.8335484785188705
SSP585,Direct,AFE,1,SRB,-0.1377695629238459
SSP585,Direct,AFE,1,SUR,-0.8176050674678706
SSP585,Direct,AFE,1,SVK,0.2373346933440439
SSP585,Direct,AFE,1,SWE,0.7988088421360948
SSP585,Direct,AFE,1,TCD,-0.8393318008587625
SSP585,Direct,AFE,1,TGO,-0.7944814448561013
SSP585,Direct,AFE,1,THA,-0.7583074283796251
SSP585,Direct,AFE,1,TJK,0.4790650350860133
SSP585,Direct,AFE,1,TKM,-0.5960096862611812
SSP585,Direct,AFE,1,TTO,-0.8161739233762575
SSP585,Direct,AFE,1,TUN,-0.6366009039442929
SSP585,Direct,AFE,1,TUR,-0.2806479330191054
SSP585,Direct,AFE,1,TZA,-0.6620829643387968
SSP585,Direct,AFE,1,UGA,-0.6679219311554038
SSP585,Direct,AFE,1,UKR,0.12667837014814465
SSP585,Direct,AFE,1,URY,-0.39594475307216404
SSP585,Direct,AFE,1,USA,-0.250095392566564
SSP585,Direct,AFE,1,UZB,-0.279508630449928
SSP585,Direct,AFE,1,VCT,-0.813821900231311
SSP585,Direct,AFE,1,VNM,-0.707869429277144
SSP585,Direct,AFE,1,VUT,-0.6232295085999602
SSP585,Direct,AFE,1,WSM,-0.7616370177913573
SSP585,Direct,AFE,1,YEM,-0.7748744439770031
SSP585,Direct,AFE,1,ZAF,-0.5292070440156249
SSP585,Direct,AFE,1,ZMB,-0.7244946131332323
SSP585,Direct,AFE,1,ZWE,-0.7032990899620025
SSP585,Direct,IFE,1,AFG,-0.3356509622377205
SSP585,Direct,IFE,1,AGO,-0.7330388627924507
SSP585,Direct,IFE,1,ALB,-0.5024934358622111
SSP585,Direct,IFE,1,ARE,-0.88082522047825
SSP585,Direct,IFE,1,ARG,-0.5107455957958621
SSP585,Direct,IFE,1,AUS,-0.5109284160689873
SSP585,Direct,IFE,1,AUT,-0.07187930416919608
SSP585,Direct,IFE,1,AZE,-0.45312389731049996
SSP585,Direct,IFE,1,BEL,-0.22927422899205996
SSP585,Direct,IFE,1,BEN,-0.8029277289002741
SSP585,Direct,IFE,1,BFA,-0.8619032624769909
SSP585,Direct,IFE,1,BGD,-0.7921161446921301
SSP585,Direct,IFE,1,BGR,-0.4249315821663042
SSP585,Direct,IFE,1,BHS,-0.537521466939834
SSP585,Direct,IFE,1,BIH,-0.3488046204766002
SSP585,Direct,IFE,1,BLR,0.04691742189521886
SSP585,Direct,IFE,1,BLZ,-0.7906446090067145
SSP585,Direct,IFE,1,BOL,-0.5767069696698077
SSP585,Direct,IFE,1,BRA,-0.705436016707448
SSP585,Direct,IFE,1,BRN,-0.8026784162007008
